순위,선수명,종합지수,평균타수 순위,평균퍼팅 순위,이글수 순위,평균버디순위,벙커세이브율 순위,그린적중률순위,드라이브거리순위,페어웨이안착률순위,대회참가수
1 ,박민지,131 ,8,26,28,10,17,12,25,5,4
2 ,김민별,185 ,9,42,1,8,78,9,8,30,6
3 ,이가영,191 ,15,27,4,17,9,21,38,60,7
4 ,장수연,194 ,14,21,28,3,17,25,46,40,4
4 ,박지영,194 ,2,9,4,6,51,5,33,84,6
6 ,김민주,202 ,22,39,4,1,17,26,40,53,7
6 ,이소영,202 ,3,61,28,7,55,1,13,34,6
8 ,정윤지,210 ,7,22,28,17,51,17,19,49,6
9 ,김수지,217 ,5,46,4,17,59,3,1,82,5
10 ,이다연,220 ,1,3,4,4,78,28,16,86,4
11 ,최예림,223 ,17,66,4,17,37,4,32,46,7
12 ,임희정,234 ,25,34,28,29,41,32,31,14,7
13 ,안선주,239 ,20,11,28,28,10,48,88,6,6
14 ,홍정민,241 ,11,14,4,11,37,38,23,103,7
15 ,이예원,243 ,6,18,28,17,85,19,34,36,6
16 ,안송이,245 ,12,51,28,32,4,8,66,44,5
17 ,전예성,248 ,9,7,28,25,51,45,69,14,6
18 ,이소미,258 ,12,32,28,35,15,26,20,90,6
19 ,황유민,259 ,43,49,28,5,2,38,3,91,6
20 ,성유진,264 ,18,12,28,69,17,71,41,8,4
21 ,지한솔,272 ,16,29,28,13,78,10,67,31,6
22 ,박현경,276 ,4,17,28,9,88,16,50,64,7
23 ,송가은,288 ,18,1,4,15,26,91,115,18,6
23 ,LI Shuying(I),288 ,35,7,28,17,26,75,62,38,5
25 ,김재희,296 ,52,87,4,45,14,18,10,66,7
26 ,손예빈,301 ,23,64,4,60,1,15,43,91,6
26 ,배소현,301 ,27,50,1,38,59,43,7,76,7
28 ,마다솜,306 ,47,63,28,38,17,31,17,65,7
29 ,노승희,307 ,32,53,28,68,10,37,71,8,7
30 ,김시원,317 ,45,108,28,51,16,6,28,35,7
31 ,인주연,322 ,75,13,4,35,29,79,9,78,6
32 ,이정민,324 ,27,74,4,44,59,23,14,79,7
33 ,나희원,332 ,43,39,4,16,32,56,49,93,7
34 ,최예본,333 ,37,69,28,27,51,11,6,104,6
35 ,임진희,339 ,24,23,28,14,105,47,26,72,7
36 ,권서연,344 ,33,33,28,46,88,46,47,23,7
37 ,이지현3,354 ,46,45,4,54,55,64,53,33,6
38 ,김우정,356 ,34,105,28,65,6,2,55,61,6
39 ,홍지원,359 ,26,36,28,75,29,51,113,1,7
40 ,박결,361 ,21,43,28,37,43,30,109,50,7
41 ,조아연,365 ,31,20,28,40,41,71,117,17,7
42 ,최은우,366 ,30,53,28,88,37,32,77,21,7
43 ,서연정,369 ,39,29,4,79,93,73,44,8,6
44 ,김윤교,370 ,58,104,28,40,5,29,99,7,7
45 ,유서연2,373 ,50,34,28,34,59,64,91,13,6
46 ,이주미,378 ,40,73,28,53,48,20,39,77,7
47 ,현세린,379 ,36,5,28,12,43,80,100,75,7
48 ,고지우,380 ,42,81,28,2,83,22,21,101,7
49 ,김해림,385 ,29,6,28,17,95,78,116,16,6
50 ,조혜림,389 ,52,57,28,48,2,53,92,57,7
51 ,최가빈,398 ,69,79,28,26,74,59,5,58,7
52 ,박도은,399 ,66,41,28,33,59,92,72,8,7
